"Tier4","Tier5","fYEAR","COUNT","TOTAL","LONGITUDE","LATITUDE"
"1808","6976","2008",983,39450,147.724577766667,-18.7323166666667
"1808","6976","2010",1955,39400,147.724577766667,-18.7323166666667
"1808","6976","2012",1033,39750,147.724577766667,-18.7323166666667
"1808","6976","2016",4479,40850,147.724577766667,-18.7323166666667
"1808","6976","2018",11227,61250,147.724577766667,-18.7323166666667
"1808","6976","2020",9609,50400,147.724577766667,-18.7323166666667
"1808","6988","2008",3091,38700,147.552516633333,-18.7351166666667
"1808","6988","2010",4689,39400,147.552516633333,-18.7351166666667
"1808","6988","2012",3338,40150,147.552516633333,-18.7351166666667
"1808","6988","2016",5696,41300,147.552516633333,-18.7351166666667
"1808","6988","2018",12439,68000,147.552516633333,-18.7351166666667
"1808","6988","2020",10440,55850,147.552516633333,-18.7351166666667
"1808","7116","2007",26651,59700,146.81261668,-19.195546668
"1808","7116","2009",25810,63100,146.81261668,-19.195546668
"1808","7116","2011",25243,60150,146.81261668,-19.195546668
"1808","7116","2013",21846,56950,146.81261668,-19.195546668
"1808","7116","2022",1553,1950,146.814364,-19.196611
"1808","7116","2024",2966,4800,146.8163485,-19.197357
"1808","7117","2022",8942,20800,146.848687,-19.170857
"1808","7117","2023",3658,8750,146.848687,-19.170857
"1808","7117","2024",3444,12050,146.848687,-19.170857
"1808","7121","2007",8629,41600,146.8653375,-19.1556958325
"1808","7121","2008",8708,42400,146.8653375,-19.1556958325
"1808","7121","2009",7507,41950,146.8653375,-19.1556958325
"1808","7121","2010",7214,42450,146.8653375,-19.1556958325
"1808","7121","2011",6759,41200,146.8653375,-19.1556958325
"1808","7121","2012",5969,41150,146.8653375,-19.1556958325
"1808","7121","2013",6472,41150,146.8653375,-19.1556958325
"1808","7121","2014",7393,41300,146.8653375,-19.1556958325
"1808","7121","2015",6869,41200,146.8653375,-19.1556958325
"1808","7121","2016",7739,40999,146.8653375,-19.1556958325
"1808","7121","2017",7703,41100,146.8653375,-19.1556958325
"1808","7121","2019",11290,41250,146.8653375,-19.1556958325
"1808","7121","2020",9198,40950,146.8653375,-19.1556958325
"1808","7121","2021",10314,41000,146.8653375,-19.1556958325
"1808","7121","2022",20898,63750,146.86681208325,-19.15506666675
"1808","7121","2023",26358,75300,146.866140291625,-19.155232249625
"1808","7121","2024",15760,56000,146.8659010555,-19.1553009995
"1808","7127","2022",7289,20300,146.881485,-19.1182115
"1808","7127","2023",8424,16750,146.881485,-19.1182115
"1808","7127","2024",7968,18300,146.881485,-19.1182115
"1808","7130","2022",12850,22850,146.873940666667,-19.139674
"1808","7130","2023",17410,29300,146.874018,-19.138512
"1808","7130","2024",11787,35950,146.874537666667,-19.1369036666667
"1808","7131","2022",1841,3050,146.814617,-19.117147
"1808","7131","2023",3298,5200,146.821089,-19.1143445
"1808","7131","2024",5501,12250,146.821089,-19.1143445
