"Tier4","Tier5","fYEAR","Depth_strata","COUNT","TOTAL","LONGITUDE","LATITUDE"
"1786","1901","2015","shallow",636,4500,-169.648615666667,-14.1650185833333
"1786","1901","2023","shallow",239,1200,-169.636292,-14.162169
"1786","1903","2015","shallow",746,1500,-170.6788504,-14.241373
"1786","1904","2015","shallow",402,1500,-170.697108,-14.25176
"1786","1904","2018","shallow",72,1500,-170.701753,-14.253818
"1786","1905","2015","shallow",843,4500,-169.4745141,-14.2614726666667
"1786","1906","2015","shallow",1523,4500,-169.4980408,-14.2657105
"1786","1906","2018","shallow",1197,4300,-169.497631333333,-14.265511
"1786","1907","2015","shallow",214,1500,-169.49272,-14.27489307
"1786","1908","2015","shallow",1609,9000,-170.739411066667,-14.3593796316667
"1786","1910","2015","shallow",1038,3000,-170.6101726,-14.27537712
"1786","1910","2023","shallow",894,3900,-170.608017,-14.275633
"1786","1911","2015","shallow",4233,32950,-170.678798831818,-14.2933839709091
"1786","1912","2015","shallow",1417,3000,-170.82072595,-14.300877805
"1786","1912","2018","shallow",554,3000,-170.8224775,-14.3042875
"1786","1912","2023","shallow",381,1200,-170.819814,-14.300035
"1786","1913","2015","shallow",85,3000,-170.6704847,-14.322919055
"1786","1914","2015","shallow",536,3000,-170.69491265,-14.31836676
"1786","1915","2015","shallow",1560,4500,-170.726612566667,-14.2843688166667
"1786","1915","2018","shallow",203,1350,-170.723442,-14.27787
"1786","1916","2015","shallow",1629,3000,-170.70524625,-14.25987451
"1786","1916","2018","shallow",794,1500,-170.70587,-14.261088
"1786","1917","2015","shallow",2713,10500,-170.561802914286,-14.2642416142857
"1786","1918","2015","shallow",565,1500,-170.7614947,-14.28694172
"1786","1919","2015","shallow",3850,19600,-170.802104046154,-14.2913812646154
"1786","1919","2018","shallow",1025,2950,-170.8006205,-14.2925545
"1786","1920","2015","shallow",340,1500,-170.7819871,-14.28764462
"1786","1920","2018","shallow",45,1500,-170.783993,-14.287177
"1786","1920","2023","shallow",90,1500,-170.784385,-14.287711
"1786","1921","2015","shallow",142,1500,-170.6517978,-14.31446085
"1786","1922","2015","shallow",743,1500,-170.831316,-14.32947191
"1786","1923","2015","shallow",921,3000,-170.78691795,-14.355166095
"1786","1923","2023","shallow",595,1200,-170.786815,-14.355704
"1786","1925","2015","shallow",944,9000,-169.610534383333,-14.1559457833333
"1786","1926","2015","shallow",1459,6000,-170.568921,-14.2474084025
"1786","1927","2015","shallow",6730,30000,-170.671462605,-14.247363565
"1786","1927","2018","shallow",753,2850,-170.671648,-14.247666
"1786","1927","2023","shallow",1039,2400,-170.6728385,-14.2486595
"1786","1930","2015","shallow",7769,16600,-171.090291490909,-11.0586879809091
"1786","1930","2018","shallow",546,7350,-171.0890072,-11.0607912
"1786","1931","2015","shallow",1654,6000,-171.065619075,-11.05713073
"1786","1932","2015","shallow",6400,19500,-171.074535953846,-11.0471584053846
"1786","1932","2018","shallow",1045,5850,-171.0789635,-11.047888
"1786","1933","2015","shallow",3556,11950,-171.0766624,-11.06566518125
"1786","1933","2018","shallow",106,1250,-171.071513,-11.063947
"1786","1934","2015","shallow",2088,3000,-171.09057935,-11.0490963
"1786","1935","2015","shallow",705,4500,-170.663613533333,-14.29059092
"1786","1935","2023","shallow",328,1500,-170.674081,-14.285049
"1786","1936","2015","shallow",2843,6000,-170.795562,-14.338068405
"1786","1936","2018","shallow",732,1500,-170.794952,-14.335073
"1786","1936","2023","shallow",474,1200,-170.794112,-14.337263
"1786","1938","2015","shallow",722,6000,-170.546830525,-14.28643101
"1786","1939","2015","shallow",1621,7500,-170.56201214,-14.289869816
"1786","1939","2023","shallow",390,1200,-170.563858,-14.284796
"1786","1940","2015","shallow",2055,22800,-170.547165026667,-14.278779818
"1786","1940","2023","shallow",49,1200,-170.548821,-14.278943
"1786","1941","2015","shallow",60,1550,-170.576797,-14.30030088
"1786","1944","2015","shallow",2419,7500,-170.5851531,-14.250862702
"1786","1945","2015","shallow",1722,7550,-170.5780762,-14.27650181
"1786","1945","2023","shallow",259,1200,-170.580364,-14.277399
"1786","1946","2015","shallow",5038,18300,-170.772844266667,-14.3621072233333
"1786","1947","2015","shallow",2495,6050,-170.763675875,-14.3627574225
"1786","1947","2018","shallow",895,1500,-170.76224,-14.36313
"1786","1947","2023","shallow",898,3900,-170.755228333333,-14.3612053333333
"1786","1948","2015","shallow",10740,33350,-170.760956313636,-14.3668853668182
"1786","1948","2018","shallow",1980,4600,-170.761095333333,-14.3641716666667
"1786","1948","2023","shallow",1832,3280,-170.762006666667,-14.364772
"1786","1951","2015","shallow",870,3050,-170.6491321,-14.25406626
"1786","1954","2015","shallow",576,1500,-170.62655,-14.248825
"1786","1954","2023","shallow",463,1200,-170.624633,-14.252131
"1786","1955","2015","shallow",2424,9000,-169.457656966667,-14.2113776233333
"1786","1957","2015","shallow",1551,6200,-169.6663569,-14.1867608125
"1786","1957","2023","shallow",418,2400,-169.6620015,-14.1858575
"1786","1958","2015","shallow",2368,7500,-169.62059038,-14.186384426
"1786","1959","2015","shallow",135,1500,-169.6074286,-14.18606065
"1786","1959","2023","shallow",182,1200,-169.609387,-14.188674
"1786","1960","2015","shallow",1056,6000,-170.77989045,-14.2906290525
"1786","1960","2018","shallow",101,3000,-170.782442,-14.2911935
"1786","1960","2023","shallow",458,1200,-170.780511,-14.292309
"1786","1961","2015","shallow",4336,13550,-169.607228233333,-14.1702214088889
"1786","1962","2015","shallow",1311,3050,-170.82449745,-14.33060171
"1786","1962","2018","shallow",641,2950,-170.811101,-14.329124
"1786","1963","2015","shallow",822,1550,-170.8378196,-14.31777346
"1786","1963","2018","shallow",1104,3000,-170.834702,-14.3268265
"1786","1964","2015","shallow",619,7650,-170.72155736,-14.34501644
"1786","1965","2015","shallow",2083,10800,-170.701567757143,-14.3338027828571
"1786","1967","2015","shallow",24,4600,-170.6445558,-14.3098402
"1786","1968","2015","shallow",67,1500,-170.5976748,-14.30415303
"1786","1971","2015","shallow",317,1500,-170.6194047,-14.29955615
"1786","1975","2015","shallow",1759,6000,-169.517473425,-14.2257333925
"1786","1975","2018","shallow",23,1500,-169.519716,-14.22437
"1786","1975","2023","shallow",770,2400,-169.5167005,-14.2322665
"1786","1976","2015","shallow",2001,7500,-169.480063,-14.214625952
"1786","1976","2018","shallow",239,1450,-169.478301,-14.214666
"1786","1977","2015","shallow",3232,10650,-169.497388142857,-14.2153080071429
"1786","1977","2018","shallow",558,1400,-169.50001,-14.216487
"1786","1978","2015","shallow",314,1550,-169.4703346,-14.25524631
